Date,PH GDP,KR GDP
1960,7515886651,3958190759
1961,8171186335,2417558289
1962,4954529277,2814318517
1963,5505055618,3988784572
1964,5953766854,3458939358
1965,6517304758,3120833333
1966,7189017888,3928908381
1967,7724873935,4855907142
1968,8632749269,6119284294
1969,9571800653,7678581344
1970,7559179530,9005023184
1971,8375086047,9903499928
1972,9067872579,10862327878
1973,11412421020,13876531432
1974,15607825071,19544094741
1975,16875240684,21784297521
1976,19380945793,29902479339
1977,22283185056,38446487603
1978,25762077666,51972107438
1979,31218507870,66946900826
1980,36848242784,65398646758
1981,40499645207,72933350954
1982,42206011275,78358866335
1983,37759237658,87760360941
1984,35730202751,97510235986
1985,34961565263,1.01296E+11
1986,33987178952,1.16837E+11
1987,37791442731,1.47948E+11
1988,43152077818,1.99591E+11
1989,48513735779,2.46927E+11
1990,50508286642,2.83368E+11
1991,51784207132,3.30649E+11
1992,60422309295,3.55525E+11
1993,62036625222,3.92666E+11
1994,73159245526,4.63617E+11
1995,84644220102,5.66583E+11
1996,94648084429,6.1017E+11
1997,94106183450,5.69755E+11
1998,74492325248,3.83331E+11
1999,85640133800,4.97513E+11
2000,83669693589,5.76178E+11
2001,78921234458,5.47658E+11
2002,84307291974,6.27246E+11
2003,87039145965,7.02717E+11
2004,95002028505,7.93175E+11
2005,1.07E+11,9.34901E+11
2006,1.28E+11,1.05322E+12
2007,1.56E+11,1.17261E+12
2008,1.82E+11,1.04734E+12
2009,1.76E+11,9.43942E+11
2010,2.08E+11,1.14407E+12
2011,2.34E+11,1.25322E+12
2012,2.62E+11,1.27843E+12
2013,2.84E+11,1.3708E+12
2014,2.97E+11,1.48432E+12
2015,3.06E+11,1.46577E+12
2016,3.19E+11,1.50011E+12
2017,3.28E+11,1.6239E+12
2018,3.47E+11,1.72485E+12
2019,3.77E+11,1.65142E+12
2020,3.62E+11,1.6379E+12
2021,3.94E+11,1.79853E+12
